Filename	WC	Honor	HonLoss	Wrongdo	Harm	aggress	Ach/Stat	Achieve	Status	Vir Beh	Mor/Int	Faith	manners	GenPrev	Sex	PubIm	Prev	strbrav	genhon	HonEmo	PosEmo	NegEmo	Context	Soc	Gender	Family	govnat	self	milit	business	ethnic
Dallas Edit New.txt	10249	14.64	1.97	0.66	1.21	0.14	4.02	2.15	1.88	2.23	1.39	0.46	0.52	2.22	0.12	0.98	0.82	0.40	0.05	0.37	0.20	0.18	3.98	0.62	0.25	0.65	1.07	0.47	0.30	0.33	0.23
Dallas Edit New.txt	10263	15.41	2.07	0.76	1.13	0.22	3.75	1.93	1.87	2.80	1.64	0.91	0.49	1.94	0.11	0.83	0.69	0.28	0.03	0.46	0.26	0.19	4.65	1.06	0.12	1.03	1.45	0.33	0.23	0.30	0.08
Dallas Edit New.txt	10270	14.72	1.97	0.83	1.04	0.14	3.56	2.14	1.53	2.32	1.59	0.34	0.72	2.41	0.15	0.95	0.85	0.42	0.09	0.25	0.10	0.16	4.32	0.94	0.22	0.98	0.93	0.41	0.23	0.45	0.14
Dallas Edit New.txt	10218	14.44	2.03	0.97	0.97	0.14	3.91	2.12	1.83	1.99	1.36	0.24	0.58	2.07	0.15	0.81	0.69	0.43	0.00	0.28	0.13	0.16	4.40	0.87	0.25	0.80	1.42	0.37	0.18	0.32	0.21
Dallas Edit New.txt	10253	14.65	2.02	0.65	1.14	0.25	3.00	1.38	1.71	2.09	1.51	0.29	0.52	2.49	0.11	0.91	1.02	0.51	0.14	0.35	0.20	0.15	4.83	1.13	0.24	0.72	1.32	0.50	0.31	0.35	0.22
Dallas Edit New.txt	10223	15.52	1.96	0.79	1.12	0.09	4.64	3.37	1.28	2.11	1.46	0.40	0.45	1.83	0.08	0.78	0.73	0.29	0.08	0.40	0.17	0.23	4.79	1.07	0.27	1.11	1.11	0.41	0.28	0.27	0.17
Dallas Edit New.txt	10261	15.22	2.20	0.82	1.27	0.19	3.33	1.83	1.58	2.19	1.37	0.59	0.40	2.65	0.13	0.93	1.06	0.53	0.04	0.33	0.14	0.19	4.70	1.01	0.44	0.85	1.30	0.47	0.21	0.39	0.14
Dallas Edit New.txt	10257	14.80	2.01	0.95	0.97	0.13	3.88	2.26	1.67	2.38	1.75	0.31	0.50	2.10	0.06	0.87	0.82	0.27	0.05	0.20	0.09	0.12	4.41	1.14	0.21	0.57	1.07	0.43	0.42	0.49	0.15
Dallas Edit New.txt	10227	14.03	1.86	0.70	1.02	0.18	3.75	2.04	1.76	1.94	1.47	0.22	0.42	2.07	0.10	0.91	0.77	0.32	0.04	0.26	0.10	0.17	4.38	0.79	0.22	0.72	1.20	0.47	0.28	0.50	0.20
Dallas Edit New.txt	10246	14.27	1.95	0.75	1.04	0.17	3.77	1.91	1.93	2.54	1.54	0.68	0.48	2.14	0.10	1.05	0.72	0.29	0.04	0.25	0.11	0.15	3.78	0.78	0.24	0.78	1.02	0.27	0.10	0.31	0.27
