%					
500	Honor				
501	HonLoss				
502	Wrongdo				
503	Harm				
535	aggress				
504	HonGain				
511	Achieve				
506	Status				
540	Vir Beh				
507	Mor/Int				
509	Faith				
532	manners				
513	Protect				
514	Sex				
515	PubIm				
516	Prev				
527	strbrav				
518	genhon				
522	Context				
523	Soc				
525	Gender				
526	Family				
528	govnat				
530	self				
531	milit				
539	business				
544	ethnic				
%					
wrong*	500	501	502	503	
lying	500	501	502		
lie*	500	501	502		
liar	500	501	502		
legal*	500	501	502		
illegal*	500	501	502		
law*	500	501	502		
greed*	500	501	502		
corrupt*	500	501	502		
betray*	500	501	502		
infidelity	500	501	502		
infidelities	500	501	502		
hooking	500	501	502		
hookers	500	501	502		
hooker	500	501	502		
cheat*	500	501	502		
gossip*	500	501	502	515	
poor*	500	501	502		
poverty	500	501	502		
outrag*	500	501	502		
teasing	500	501	502		
tease*	500	501	502		
suicid*	500	501	502		
stole	500	501	502		
refus*	500	501	502		
steal*	500	501	502		
defy*	500	501	502		
defiant	500	501	502		
affair	500	501	502		
prostitute	500	501	502		
whore	500	501	502		
defiance	500	501	502		
derogat*	500	501	502		
atroc*	500	501	502		
vanity	500	501	502		
vain	500	501	502		
flaunt*	500	501	502		
conceit*	500	501	502		
arrogan*	500	501	502		
sabotag*	500	501	502		
rude*	500	501	502		
plagiari*	500	501	502		
offens*	500	501	502		
offenc*	500	501	502		
mess*	500	501	502		
cuckholds	500	501	502		
cuckhold	500	501	502		
malpractic*	500	501	502		
guilt*	500	501	502		
fault*	500	501	502		
fals*	500	501	502		
inappropriate*	500	501	502		
sorry	500	501	503		
intolerable	500	501	502		
haram	500	501	502		
bad*	500	501	502		
violat*	500	501	502		
vices	500	501	502		
vice	500	501	502		
thiev*	500	501	502		
thief	500	501	502		
thefts	500	501	502		
theft	500	501	502		
coward*	500	501	502		
weak*	500	501	502		
frail	500	501	502		
resign*	500	501	502		
timid	500	501	502		
scandal*	500	501	502		
Sacred	500	501	502		
revenge*	500	501	502		
punish*	500	501	502		
profan*	500	501	502		
prisons	500	501	502		
prisoners	500	501	502		
prisoner	500	501	502		
prison	500	501	502		
policed	500	501	502		
policing	500	501	502		
police	500	501	502		
enforc*	500	501	502		
surrender*	500	501	502		
submit*	500	501	502		
bow*	500	501	502		
mistook	500	501	502		
mistake*	500	501	502		
misdemeanors	500	501	502		
misdemeanor	500	501	502		
interfere*	500	501	502		
indulge*	500	501	502		
imprison*	500	501	502		
drug*	500	501	502		
evil	500	501	502		
debt*	500	501	502		
exploit*	500	501	502		
embezzle*	500	501	502		
devia*	500	501	502		
defil*	500	501	502		
criminal*	500	501	502		
crimes	500	501	502		
crime	500	501	502		
consequen*	500	501	502		
chicanery	500	501	502		
bribe*	500	501	502		
abandon*	500	501	502		
excuse*	500	501	502		
complain*	500	501	502		
bail*	500	501	502		
adulter*	500	501	502		
gay	500	501	502		
gays	500	501	502		
homosexual*	500	501	502		
blackmail	500	501	502		
degrade*	500	501	502		
treachery	500	501	502		
treason	500	501	502		
untruth	500	501	502		
decept*	500	501	502		
deceiv*	500	501	502		
stance	500	501	502		
unpleasant*	500	501	502		
obscen*	500	501	502		
improper*	500	501	502		
impolite*	500	501	502		
injust*	500	501	503		
beneath	500	501	503		
belittl*	500	501	503		
ostraci*	500	501	503	522	523
unemploy*	500	501	503		
jobless	500	501	503		
suing	500	501	503		
sue*	500	501	503		
murder*	500	501	503		
molest*	500	501	503		
missing	500	501	503		
lash*	500	501	503		
invasion	500	501	503		
invad*	500	501	503		
injur*	500	501	503		
frighten*	500	501	503		
duel*	500	501	503		
drop*	500	501	503		
destruct*	500	501	503		
crisis*	500	501	503		
crash*	500	501	503		
burn*	500	501	503		
bother*	500	501	503		
beat*	500	501	503		
disrespect*	500	501	503		
abus*	500	501	503		
dishonor*	500	501	503		
knives	500	501	503	535	
knife	500	501	503	535	
viral	500	501	503		
viruses	500	501	503		
virus	500	501	503		
violen*	500	501	503		
victim*	500	501	503		
threat*	500	501	503		
terrible	500	501	503		
struggl*	500	501	503		
jihad*	500	501	503		
strik*	500	501	503		
spit*	500	501	503		
slander*	500	501	503		
shout*	500	501	503		
shoot*	500	501	503		
shots	500	501	503		
shot	500	501	503		
scorn*	500	501	503		
ruin*	500	501	503		
reject*	500	501	503		
rape*	500	501	503		
raping	500	501	503		
problem*	500	501	503		
quiet*	500	501	503		
occup*	500	501	503		
overbear*	500	501	503		
oppress*	500	501	503		
notch*	500	501	503		
lost	500	501	503		
loss	500	501	503		
losing	500	501	503		
lose*	500	501	503		
lack*	500	501	503		
kill*	500	501	503		
insult*	500	501	503		
ignoran*	500	501	503		
hurt*	500	501	503		
hit*	500	501	503		
harass*	500	501	503		
harm*	500	501	503		
fail*	500	501	503		
enmity	500	501	503		
drag*	500	501	503		
disparag*	500	501	503		
dismis*	500	501	503		
disease*	500	501	503		
ding*	500	501	503		
diminish*	500	501	503		
die	500	501	503		
dies	500	501	503		
died	500	501	503		
damag*	500	501	503		
destroy*	500	501	503		
death	500	501	503		
deaths	500	501	503		
dead	500	501	503		
curs*	500	501	503		
conque*	500	501	503		
conflict*	500	501	503		
condemn*	500	501	503		
collaps*	500	501	503		
burden	500	501	503		
blunt*	500	501	503		
blood*	500	501	503		
blam*	500	501	503	513	515
boil*	500	501	503		
bear*	500	501	503		
bastard	500	501	503		
attack*	500	501	503		
assault*	500	501	503		
animosity	500	501	503		
affront*	500	501	503		
expos*	500	501	503		
break*	500	501	503		
broken	500	501	503		
isolat*	500	501	503		
blow*	500	501	503		
satan*	500	501	503		
crumbl*	500	501	503		
taunt*	500	501	503		
alleg*	500	501	503		
snap*	500	501	503		
spoil*	500	501	503		
crush*	500	501	503		
taken	500	501	503		
sick	500	501	503		
stain	500	501	503		
ill	500	501	503		
dirty	500	501	503		
rivalr*	500	501	503		
dishonour*	500	501	503		
kidnap*	500	501	503		
snatch*	500	501	503		
tyrant	500	501	503		
fought	500	501	535		
fight*	500	501	535		
disagree*	500	501	535		
cruel*	500	501	535		
confront*	500	501	535		
arguments	500	501	535		
argument	500	501	535		
argue*	500	501	535		
contradict*	500	501	535		
stoning	500	501	535		
stones	500	501	535		
threw	500	501	535		
brawl	500	501	535		
challeng*	500	501	535		
feud	500	501	535		
riot	500	501	535		
battle*	500	501	535		
battling	500	501	535		
supervisors	500	504	506		
supervisor	500	504	506		
positions	500	504	506		
position	500	504	506		
directors	500	504	506		
director	500	504	506		
colleagues	500	522	523		
colleague	500	522	523		
co-workers	500	522	523		
co-worker	500	522	523		
staff	500	522	523		
secretar*	500	522	523		
project*	500	504	511		
profession*	500	504	506		
hiring	500	504	511		
hire*	500	504	511		
effort*	500	504	511		
compan*	500	504	506		
Work*	500	504	511		
labor*	500	504	511		
hardwork*	500	504	511		
retire*	500	504	506		
tasks	500	504	511		
task	500	504	511	507	
produc*	500	504	511		
precise*	500	504	511		
perform*	500	504	511		
mission*	500	504	511		
jobs	500	504	511		
job	500	504	511		
exact*	500	504	511		
employ*	500	504	506		
bosses	500	504	506		
boss	500	504	506		
earned	500	504	511		
earns	500	504	511		
excess*	500	504	511		
exceeds	500	504	511		
exceed	500	504	511		
earning	500	504	511		
earnings	500	504	511		
earn	500	504	511		
jewel*	500	504	506		
authority	500	504	506	527	
respect*	500	504	506	518	532
pedigree*	500	504	506		
comfort*	500	504	506		
worth*	500	504	506		
status	500	504	506		
bestow*	500	504	506		
stand*	500	504	506		
signif*	500	504	506		
prestig*	500	504	506		
suprem*	500	504	506		
glor*	500	504	506		
esteem*	500	504	506		
class	500	504	506		
classy	500	504	506		
classes	500	504	506		
levels	500	504	506		
level	500	504	506		
beaut*	500	504	506		
awesome*	500	504	506		
raise*	500	504	506	522	526
elevat*	500	504	506		
high	500	504	506		
highest	500	504	506		
top	500	504	506		
elder*	500	504	506		
senior*	500	504	506		
spend*	500	504	506		
spent	500	504	506		
rich	500	504	506		
expens*	500	504	506		
influen*	500	504	506		
endow*	500	504	506		
advantage	500	504	506		
favor*	500	504	506		
rank	500	504	506		
regard*	500	504	506		
loyal*	500	540	507		
unblemish*	500	540	507		
truth*	500	540	507		
fact*	500	540	507		
trust*	500	540	507		
true*	500	540	507		
transparen*	500	540	507		
sincer*	500	540	507		
scrupulous	500	540	507		
scruples	500	540	507		
integrity	500	540	507		
honest*	500	540	507		
credib*	500	540	507		
value*	500	540	507	506	
tenet*	500	540	507		
ethic*	500	540	507		
principle*	500	540	507		
valuable	500	540	507		
upright*	500	540	507		
unfair*	500	540	507		
tradition*	500	540	507		
right*	500	540	507		
principle*	500	540	507		
objectivity	500	540	507		
moral*	500	540	507		
kosher	500	540	507		
hallal	500	540	507		
fair*	500	540	507		
justice	500	540	507		
deserv*	500	540	507		
customarily	500	540	507		
customary	500	540	507		
customs	500	540	507		
custom	500	540	507		
conscientious*	500	540	507		
conscience	500	540	507		
codes	500	540	507		
code	500	540	507		
account*	500	540	507		
paths	500	540	507		
path	500	540	507		
advis*	500	540	507	511	
advice	500	540	507		
peace	500	540	507		
peaceful	500	540	507		
peacefulness	500	540	507		
kindness	500	540	507	532	
modest*	500	540	532		
kindly	500	540	507	532	
kind	500	540	507	532	
humility	500	540	532		
humbl*	500	540	532		
virtue	500	540	507		
virtues	500	540	507		
virtuous*	500	540	507		
sacrific*	500	540	507		
compassion*	500	540	507		
aid	500	540	507		
aids	500	540	507		
aided	500	540	507		
aiding	500	540	507		
offer	500	540	507		
guid*	500	540	507		
help*	500	540	507	532	
hand	500	540	507		
worship*	500	540	509		
ritual*	500	540	509		
heaven*	500	540	509		
religio*	500	540	509		
faith*	500	540	507	509	
believ*	500	540	509		
belief*	500	540	509		
god*	500	540	509		
lord	500	540	509		
prophec*	500	540	509		
prophet*	500	540	509		
quran*	500	540	509		
koran*	500	540	509		
soul*	500	540	509		
islam*	500	540	509		
muslim*	500	540	509		
bless*	500	540	509		
piety	500	540	509		
pious	500	540	509		
Muhammad	500	540	509		
devot*	500	540	509	507	
hope*	500	540	509		
hoping	500	540	509		
christ*	500	540	509		
bible	500	540	509		
biblical*	500	540	509		
gospel	500	540	509		
saint*	500	540	509		
mosque*	500	540	509		
jesus	500	540	509		
church*	500	540	509		
pray*	500	540	509		
accomplish*	500	504	511		
held	500	540	507		
expect*	500	540	507		
duty	500	540	507		
duti*	500	540	507		
should	500	540	507		
responsib*	500	540	507		
promising	500	540	507		
promise*	500	540	507		
possess*	500	540	507		
oblig*	500	540	507		
hold*	500	540	507		
commitment	500	540	507		
commitments	500	540	507		
committed	500	540	507		
commits	500	540	507		
committing	500	540	507		
depend*	500	540	507		
demand*	500	540	507		
comply	500	540	507		
complie*	500	540	507		
complian*	500	540	507		
approv*	500	540	507		
norms	500	540	507		
appoint*	500	540	507		
conform	500	540	507		
wise*	500	504	511		
wisdom	500	504	511		
credit	500	504	511		
graduat*	500	504	511		
university	500	504	511		
universities	500	504	511		
college	500	504	511		
colleges	500	504	511		
teach*	500	504	511		
taught	500	504	511		
success	500	504	511		
successful*	500	504	511		
succeed*	500	504	511		
successes	500	504	511		
stud*	500	504	511		
reach*	500	504	511		
professor*	500	504	511		
privileg*	500	504	511		
phds	500	504	511		
phd	500	504	511		
naive	500	504	511		
motivat*	500	504	511		
mind*	500	504	511		
learn*	500	504	511		
kindergarten	500	504	511		
grade	500	504	511		
exceed	500	504	511		
educat*	500	504	511		
doctorate	500	504	511		
doctor	500	504	511		
doctors	500	504	511		
degrees	500	504	511		
degree	500	504	511		
coach*	500	504	511		
capable	500	504	511		
capability	500	504	511		
capabilities	500	504	511		
ability	500	504	511		
abilities	500	504	511		
able	500	504	511		
admir*	500	504	511		
achieve*	500	504	511		
achieving	500	504	511		
school*	500	504	511		
lectur*	500	504	511		
inspir*	500	504	511		
improv*	500	504	511		
smart	500	504	511		
